id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,possession_elapsed,possession_home,possession_away
1729,1729,1729,2008/2009,1,2008-08-17 00:00:00,489042,10260,10261,1,1,90,55,45
1730,1729,1729,2008/2009,1,2008-08-16 00:00:00,489043,9825,8659,1,0,90,66,34
1731,1729,1729,2008/2009,1,2008-08-16 00:00:00,489044,8472,8650,0,1,90,46,54
1732,1729,1729,2008/2009,1,2008-08-16 00:00:00,489045,8654,8528,2,1,90,52,48
1733,1729,1729,2008/2009,1,2008-08-17 00:00:00,489046,10252,8456,4,2,90,52,48
1734,1729,1729,2008/2009,1,2008-08-16 00:00:00,489047,8668,8655,2,3,90,51,49
1735,1729,1729,2008/2009,1,2008-08-16 00:00:00,489048,8549,8586,2,1,90,53,47
1736,1729,1729,2008/2009,1,2008-08-16 00:00:00,489049,8559,10194,3,1,90,47,53
1737,1729,1729,2008/2009,1,2008-08-16 00:00:00,489050,8667,9879,2,1,90,53,47
1738,1729,1729,2008/2009,1,2008-08-17 00:00:00,489051,8455,8462,4,0,72,65,35
1739,1729,1729,2008/2009,10,2008-10-29 00:00:00,489132,10260,8654,2,0,90,60,40
1740,1729,1729,2008/2009,10,2008-10-29 00:00:00,489133,9825,8586,4,4,90,62,38
1741,1729,1729,2008/2009,10,2008-10-29 00:00:00,489134,8549,8456,2,0,90,45,55
1742,1729,1729,2008/2009,10,2008-10-29 00:00:00,489135,8559,8668,0,1,90,53,47
1743,1729,1729,2008/2009,10,2008-10-29 00:00:00,489136,8667,8455,0,3,0,0,0
1744,1729,1729,2008/2009,10,2008-10-29 00:00:00,489137,10194,8472,1,0,90,52,48
1745,1729,1729,2008/2009,10,2008-10-29 00:00:00,489138,8650,8462,1,0,90,54,46
1746,1729,1729,2008/2009,10,2008-10-29 00:00:00,489139,10252,8655,3,2,90,57,43
1747,1729,1729,2008/2009,10,2008-10-28 00:00:00,489140,10261,8659,2,1,90,51,49
1748,1729,1729,2008/2009,10,2008-10-29 00:00:00,489141,9879,8528,2,0,90,50,50
1749,1729,1729,2008/2009,11,2008-11-01 00:00:00,489142,10260,8667,4,3,89,51,49
